Gene,Screen,Plate,Project,Dataset,Image,Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122655,increased actin over nucleus,increased actin localised to the nucleus,CMPO_0000294,http://www.ebi.ac.uk/cmpo/CMPO_0000294
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122655,increased number of filopodia,increased number of filopodia,CMPO_0000076,http://www.ebi.ac.uk/cmpo/CMPO_0000076
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased number of cortical actin stress fibres,increased amount of stress fibers located in the cell cortex phenotype,CMPO_0000297,http://www.ebi.ac.uk/cmpo/CMPO_0000297
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,cell shape bipolar or elongated,elongated cell phenotype,CMPO_0000077,http://www.ebi.ac.uk/cmpo/CMPO_0000077
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,motile lamellae,fan-shaped lamellipodia phenotype,CMPO_0000278,http://www.ebi.ac.uk/cmpo/CMPO_0000278
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,loss of cell monolayer,loss of cell monolayer,CMPO_0000293,http://www.ebi.ac.uk/cmpo/CMPO_0000293
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,cell shape processes or spiky or stretchy,star shaped cell phenotype,CMPO_0000267,http://www.ebi.ac.uk/cmpo/CMPO_0000267
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,disorganised peripheral actin,disorganised cortical actin cytoskeleton phenotype,CMPO_0000274,http://www.ebi.ac.uk/cmpo/CMPO_0000274
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased peripheral actin,increased cortical actin cytoskeleton mass phenotype,CMPO_0000272,http://www.ebi.ac.uk/cmpo/CMPO_0000272
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased number of actin puncta or dots,increased amount of punctate actin foci phenotype,CMPO_0000291,http://www.ebi.ac.uk/cmpo/CMPO_0000291
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased width of lamellae,increased lamellipodia width phenotype,CMPO_0000276,http://www.ebi.ac.uk/cmpo/CMPO_0000276
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,cell shape variable,increased variability of cell shape in population,CMPO_0000270,http://www.ebi.ac.uk/cmpo/CMPO_0000270
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,microtubule processes,increased microtubule-based processes phenotype,CMPO_0000351,http://www.ebi.ac.uk/cmpo/CMPO_0000351
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,decreased cell number,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,misshapen DNA,misshapen DNA,CMPO_0000177,http://www.ebi.ac.uk/cmpo/CMPO_0000177
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,apoptotic DNA,apoptotic DNA,CMPO_0000262,http://www.ebi.ac.uk/cmpo/CMPO_0000262
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased number of multinucleate cells,more multinucleate cells,CMPO_0000300,http://www.ebi.ac.uk/cmpo/CMPO_0000300
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased number of transverse actin stress fibres,increased amount of transverse stress fibers,CMPO_0000298,http://www.ebi.ac.uk/cmpo/CMPO_0000298
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,cell shape geometric,geometric cell phenotype,CMPO_0000261,http://www.ebi.ac.uk/cmpo/CMPO_0000261
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,variable cell size,increased variability of cell size in population,CMPO_0000269,http://www.ebi.ac.uk/cmpo/CMPO_0000269
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased actin over nucleus,increased actin localised to the nucleus,CMPO_0000294,http://www.ebi.ac.uk/cmpo/CMPO_0000294
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122653,increased number of filopodia,increased number of filopodia,CMPO_0000076,http://www.ebi.ac.uk/cmpo/CMPO_0000076
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased number of cortical actin stress fibres,increased amount of stress fibers located in the cell cortex phenotype,CMPO_0000297,http://www.ebi.ac.uk/cmpo/CMPO_0000297
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,cell shape bipolar or elongated,elongated cell phenotype,CMPO_0000077,http://www.ebi.ac.uk/cmpo/CMPO_0000077
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,motile lamellae,fan-shaped lamellipodia phenotype,CMPO_0000278,http://www.ebi.ac.uk/cmpo/CMPO_0000278
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,loss of cell monolayer,loss of cell monolayer,CMPO_0000293,http://www.ebi.ac.uk/cmpo/CMPO_0000293
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,cell shape processes or spiky or stretchy,star shaped cell phenotype,CMPO_0000267,http://www.ebi.ac.uk/cmpo/CMPO_0000267
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,disorganised peripheral actin,disorganised cortical actin cytoskeleton phenotype,CMPO_0000274,http://www.ebi.ac.uk/cmpo/CMPO_0000274
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased peripheral actin,increased cortical actin cytoskeleton mass phenotype,CMPO_0000272,http://www.ebi.ac.uk/cmpo/CMPO_0000272
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased number of actin puncta or dots,increased amount of punctate actin foci phenotype,CMPO_0000291,http://www.ebi.ac.uk/cmpo/CMPO_0000291
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased width of lamellae,increased lamellipodia width phenotype,CMPO_0000276,http://www.ebi.ac.uk/cmpo/CMPO_0000276
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,cell shape variable,increased variability of cell shape in population,CMPO_0000270,http://www.ebi.ac.uk/cmpo/CMPO_0000270
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,microtubule processes,increased microtubule-based processes phenotype,CMPO_0000351,http://www.ebi.ac.uk/cmpo/CMPO_0000351
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,decreased cell number,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,misshapen DNA,misshapen DNA,CMPO_0000177,http://www.ebi.ac.uk/cmpo/CMPO_0000177
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,apoptotic DNA,apoptotic DNA,CMPO_0000262,http://www.ebi.ac.uk/cmpo/CMPO_0000262
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased number of multinucleate cells,more multinucleate cells,CMPO_0000300,http://www.ebi.ac.uk/cmpo/CMPO_0000300
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased number of transverse actin stress fibres,increased amount of transverse stress fibers,CMPO_0000298,http://www.ebi.ac.uk/cmpo/CMPO_0000298
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,cell shape geometric,geometric cell phenotype,CMPO_0000261,http://www.ebi.ac.uk/cmpo/CMPO_0000261
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,variable cell size,increased variability of cell size in population,CMPO_0000269,http://www.ebi.ac.uk/cmpo/CMPO_0000269
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased actin over nucleus,increased actin localised to the nucleus,CMPO_0000294,http://www.ebi.ac.uk/cmpo/CMPO_0000294
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123098,increased number of filopodia,increased number of filopodia,CMPO_0000076,http://www.ebi.ac.uk/cmpo/CMPO_0000076
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased number of cortical actin stress fibres,increased amount of stress fibers located in the cell cortex phenotype,CMPO_0000297,http://www.ebi.ac.uk/cmpo/CMPO_0000297
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,cell shape bipolar or elongated,elongated cell phenotype,CMPO_0000077,http://www.ebi.ac.uk/cmpo/CMPO_0000077
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,motile lamellae,fan-shaped lamellipodia phenotype,CMPO_0000278,http://www.ebi.ac.uk/cmpo/CMPO_0000278
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,loss of cell monolayer,loss of cell monolayer,CMPO_0000293,http://www.ebi.ac.uk/cmpo/CMPO_0000293
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,cell shape processes or spiky or stretchy,star shaped cell phenotype,CMPO_0000267,http://www.ebi.ac.uk/cmpo/CMPO_0000267
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,disorganised peripheral actin,disorganised cortical actin cytoskeleton phenotype,CMPO_0000274,http://www.ebi.ac.uk/cmpo/CMPO_0000274
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased peripheral actin,increased cortical actin cytoskeleton mass phenotype,CMPO_0000272,http://www.ebi.ac.uk/cmpo/CMPO_0000272
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased number of actin puncta or dots,increased amount of punctate actin foci phenotype,CMPO_0000291,http://www.ebi.ac.uk/cmpo/CMPO_0000291
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased width of lamellae,increased lamellipodia width phenotype,CMPO_0000276,http://www.ebi.ac.uk/cmpo/CMPO_0000276
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,cell shape variable,increased variability of cell shape in population,CMPO_0000270,http://www.ebi.ac.uk/cmpo/CMPO_0000270
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,microtubule processes,increased microtubule-based processes phenotype,CMPO_0000351,http://www.ebi.ac.uk/cmpo/CMPO_0000351
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,decreased cell number,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,misshapen DNA,misshapen DNA,CMPO_0000177,http://www.ebi.ac.uk/cmpo/CMPO_0000177
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,apoptotic DNA,apoptotic DNA,CMPO_0000262,http://www.ebi.ac.uk/cmpo/CMPO_0000262
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased number of multinucleate cells,more multinucleate cells,CMPO_0000300,http://www.ebi.ac.uk/cmpo/CMPO_0000300
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased number of transverse actin stress fibres,increased amount of transverse stress fibers,CMPO_0000298,http://www.ebi.ac.uk/cmpo/CMPO_0000298
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,cell shape geometric,geometric cell phenotype,CMPO_0000261,http://www.ebi.ac.uk/cmpo/CMPO_0000261
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,variable cell size,increased variability of cell size in population,CMPO_0000269,http://www.ebi.ac.uk/cmpo/CMPO_0000269
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased actin over nucleus,increased actin localised to the nucleus,CMPO_0000294,http://www.ebi.ac.uk/cmpo/CMPO_0000294
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122899,increased number of filopodia,increased number of filopodia,CMPO_0000076,http://www.ebi.ac.uk/cmpo/CMPO_0000076
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased number of cortical actin stress fibres,increased amount of stress fibers located in the cell cortex phenotype,CMPO_0000297,http://www.ebi.ac.uk/cmpo/CMPO_0000297
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,cell shape bipolar or elongated,elongated cell phenotype,CMPO_0000077,http://www.ebi.ac.uk/cmpo/CMPO_0000077
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,motile lamellae,fan-shaped lamellipodia phenotype,CMPO_0000278,http://www.ebi.ac.uk/cmpo/CMPO_0000278
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,loss of cell monolayer,loss of cell monolayer,CMPO_0000293,http://www.ebi.ac.uk/cmpo/CMPO_0000293
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,cell shape processes or spiky or stretchy,star shaped cell phenotype,CMPO_0000267,http://www.ebi.ac.uk/cmpo/CMPO_0000267
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,disorganised peripheral actin,disorganised cortical actin cytoskeleton phenotype,CMPO_0000274,http://www.ebi.ac.uk/cmpo/CMPO_0000274
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased peripheral actin,increased cortical actin cytoskeleton mass phenotype,CMPO_0000272,http://www.ebi.ac.uk/cmpo/CMPO_0000272
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased number of actin puncta or dots,increased amount of punctate actin foci phenotype,CMPO_0000291,http://www.ebi.ac.uk/cmpo/CMPO_0000291
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased width of lamellae,increased lamellipodia width phenotype,CMPO_0000276,http://www.ebi.ac.uk/cmpo/CMPO_0000276
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,cell shape variable,increased variability of cell shape in population,CMPO_0000270,http://www.ebi.ac.uk/cmpo/CMPO_0000270
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,microtubule processes,increased microtubule-based processes phenotype,CMPO_0000351,http://www.ebi.ac.uk/cmpo/CMPO_0000351
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,decreased cell number,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,misshapen DNA,misshapen DNA,CMPO_0000177,http://www.ebi.ac.uk/cmpo/CMPO_0000177
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,apoptotic DNA,apoptotic DNA,CMPO_0000262,http://www.ebi.ac.uk/cmpo/CMPO_0000262
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased number of multinucleate cells,more multinucleate cells,CMPO_0000300,http://www.ebi.ac.uk/cmpo/CMPO_0000300
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased number of transverse actin stress fibres,increased amount of transverse stress fibers,CMPO_0000298,http://www.ebi.ac.uk/cmpo/CMPO_0000298
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,cell shape geometric,geometric cell phenotype,CMPO_0000261,http://www.ebi.ac.uk/cmpo/CMPO_0000261
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,variable cell size,increased variability of cell size in population,CMPO_0000269,http://www.ebi.ac.uk/cmpo/CMPO_0000269
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased actin over nucleus,increased actin localised to the nucleus,CMPO_0000294,http://www.ebi.ac.uk/cmpo/CMPO_0000294
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,123097,increased number of filopodia,increased number of filopodia,CMPO_0000076,http://www.ebi.ac.uk/cmpo/CMPO_0000076
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased number of cortical actin stress fibres,increased amount of stress fibers located in the cell cortex phenotype,CMPO_0000297,http://www.ebi.ac.uk/cmpo/CMPO_0000297
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,cell shape bipolar or elongated,elongated cell phenotype,CMPO_0000077,http://www.ebi.ac.uk/cmpo/CMPO_0000077
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,motile lamellae,fan-shaped lamellipodia phenotype,CMPO_0000278,http://www.ebi.ac.uk/cmpo/CMPO_0000278
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,loss of cell monolayer,loss of cell monolayer,CMPO_0000293,http://www.ebi.ac.uk/cmpo/CMPO_0000293
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,cell shape processes or spiky or stretchy,star shaped cell phenotype,CMPO_0000267,http://www.ebi.ac.uk/cmpo/CMPO_0000267
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,disorganised peripheral actin,disorganised cortical actin cytoskeleton phenotype,CMPO_0000274,http://www.ebi.ac.uk/cmpo/CMPO_0000274
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased peripheral actin,increased cortical actin cytoskeleton mass phenotype,CMPO_0000272,http://www.ebi.ac.uk/cmpo/CMPO_0000272
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased number of actin puncta or dots,increased amount of punctate actin foci phenotype,CMPO_0000291,http://www.ebi.ac.uk/cmpo/CMPO_0000291
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased width of lamellae,increased lamellipodia width phenotype,CMPO_0000276,http://www.ebi.ac.uk/cmpo/CMPO_0000276
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,cell shape variable,increased variability of cell shape in population,CMPO_0000270,http://www.ebi.ac.uk/cmpo/CMPO_0000270
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,microtubule processes,increased microtubule-based processes phenotype,CMPO_0000351,http://www.ebi.ac.uk/cmpo/CMPO_0000351
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,decreased cell number,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,misshapen DNA,misshapen DNA,CMPO_0000177,http://www.ebi.ac.uk/cmpo/CMPO_0000177
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,apoptotic DNA,apoptotic DNA,CMPO_0000262,http://www.ebi.ac.uk/cmpo/CMPO_0000262
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased number of multinucleate cells,more multinucleate cells,CMPO_0000300,http://www.ebi.ac.uk/cmpo/CMPO_0000300
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased number of transverse actin stress fibres,increased amount of transverse stress fibers,CMPO_0000298,http://www.ebi.ac.uk/cmpo/CMPO_0000298
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,cell shape geometric,geometric cell phenotype,CMPO_0000261,http://www.ebi.ac.uk/cmpo/CMPO_0000261
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,variable cell size,increased variability of cell size in population,CMPO_0000269,http://www.ebi.ac.uk/cmpo/CMPO_0000269
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased actin over nucleus,increased actin localised to the nucleus,CMPO_0000294,http://www.ebi.ac.uk/cmpo/CMPO_0000294
CYBB,idr0008-rohn-actinome/screenB (15),Plate8_Actinome1,-,-,122900,increased number of filopodia,increased number of filopodia,CMPO_0000076,http://www.ebi.ac.uk/cmpo/CMPO_0000076
RAB18,idr0009-simpson-secretion/screenA (20),0021-02--2005-09-14,-,-,249766,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-07--2005-08-05,-,-,250354,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-24--2005-09-20,-,-,1359920,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-25--2006-05-12,-,-,1360904,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-34--2005-08-10,-,-,251655,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-38--2005-08-22,-,-,251863,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-01--2007-04-03,-,-,1324636,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-02--2007-04-04,-,-,1325080,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-03--2007-04-04,-,-,1325505,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-04--2007-04-14,-,-,1325860,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-05--2007-04-15,-,-,1326440,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-07--2007-04-08,-,-,1326742,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-09--2007-04-16,-,-,1327111,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-10--2007-05-30,-,-,1327582,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-11--2007-05-31,-,-,1327717,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-12--2007-06-03,-,-,1328335,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-02--2005-09-14,-,-,249766,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-07--2005-08-05,-,-,250354,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-24--2005-09-20,-,-,1359920,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-25--2006-05-12,-,-,1360904,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-34--2005-08-10,-,-,251655,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenA (20),0021-38--2005-08-22,-,-,251863,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-01--2007-04-03,-,-,1324636,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-02--2007-04-04,-,-,1325080,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-03--2007-04-04,-,-,1325505,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-04--2007-04-14,-,-,1325860,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-05--2007-04-15,-,-,1326440,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-07--2007-04-08,-,-,1326742,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-09--2007-04-16,-,-,1327111,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-10--2007-05-30,-,-,1327582,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-11--2007-05-31,-,-,1327717,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
RAB18,idr0009-simpson-secretion/screenB (10),0308-12--2007-06-03,-,-,1328335,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
